free_text,hours,workload,sleep,stress,burnout_label
HR | Healthcare | Hybrid | 1,47.0,9.0,7.0,6.0,1
Data Scientist | IT | Remote | 2,52.0,10.0,7.0,6.0,1
Software Engineer | Education | Hybrid | 5,46.0,6.0,3.0,6.0,0
Software Engineer | Finance | Onsite | 3,32.0,7.0,3.0,9.0,1
Sales | Consulting | Onsite | 3,35.0,9.0,6.0,9.0,1
Sales | IT | Hybrid | 1,39.0,7.0,6.0,9.0,0
Sales | IT | Remote | 3,51.0,8.0,3.0,3.0,1
Data Scientist | Manufacturing | Onsite | 4,54.0,8.0,6.0,6.0,1
Data Scientist | Healthcare | Hybrid | 4,24.0,9.0,3.0,9.0,1
HR | IT | Hybrid | 1,57.0,10.0,3.0,3.0,1
Software Engineer | Finance | Remote | 2,48.0,8.0,6.0,9.0,1
Marketing | Consulting | Hybrid | 3,26.0,7.0,3.0,6.0,0
Marketing | Consulting | Remote | 1,21.0,9.0,7.0,9.0,1
Designer | Manufacturing | Hybrid | 5,45.0,10.0,3.0,3.0,1
Project Manager | Retail | Remote | 3,59.0,8.0,6.0,9.0,1
Sales | Healthcare | Remote | 4,44.0,7.0,6.0,3.0,0
HR | Education | Onsite | 1,52.0,9.0,7.0,6.0,1
Data Scientist | Consulting | Onsite | 5,37.0,8.0,7.0,3.0,1
Software Engineer | IT | Remote | 2,36.0,10.0,7.0,9.0,1
Software Engineer | Consulting | Remote | 1,59.0,8.0,6.0,6.0,1
Sales | Retail | Hybrid | 1,21.0,9.0,3.0,3.0,1
Sales | Education | Onsite | 4,54.0,8.0,3.0,6.0,1
Sales | Finance | Onsite | 4,57.0,8.0,6.0,3.0,1
Marketing | Consulting | Onsite | 3,22.0,6.0,3.0,3.0,0
Sales | Finance | Remote | 4,54.0,8.0,6.0,3.0,1
Project Manager | Healthcare | Onsite | 3,21.0,7.0,7.0,9.0,0
Project Manager | Retail | Onsite | 4,24.0,8.0,3.0,9.0,1
Project Manager | Retail | Onsite | 4,56.0,7.0,3.0,3.0,1
Sales | IT | Onsite | 1,33.0,8.0,3.0,9.0,1
Software Engineer | Healthcare | Remote | 1,25.0,9.0,3.0,9.0,1
Data Scientist | IT | Onsite | 2,20.0,10.0,6.0,3.0,1
Marketing | Manufacturing | Hybrid | 5,33.0,9.0,6.0,6.0,1
Project Manager | Manufacturing | Remote | 5,20.0,9.0,7.0,6.0,1
Software Engineer | Healthcare | Remote | 4,26.0,8.0,6.0,6.0,1
Designer | IT | Hybrid | 3,22.0,7.0,6.0,6.0,0
Sales | Healthcare | Hybrid | 5,57.0,7.0,3.0,3.0,1
Sales | Finance | Onsite | 3,30.0,10.0,3.0,3.0,1
Designer | Healthcare | Remote | 5,47.0,9.0,7.0,3.0,1
Sales | IT | Onsite | 1,48.0,7.0,6.0,3.0,0
Marketing | Consulting | Hybrid | 5,20.0,8.0,3.0,9.0,1
Data Scientist | IT | Remote | 5,44.0,7.0,3.0,9.0,1
Project Manager | IT | Onsite | 5,29.0,9.0,7.0,3.0,1
Project Manager | Finance | Remote | 3,58.0,8.0,3.0,9.0,1
Designer | Manufacturing | Remote | 3,53.0,7.0,6.0,6.0,0
HR | Retail | Remote | 2,23.0,8.0,7.0,9.0,1
Marketing | Retail | Remote | 3,42.0,9.0,3.0,6.0,1
Data Scientist | Education | Remote | 5,35.0,10.0,7.0,6.0,1
Sales | Consulting | Remote | 4,39.0,6.0,7.0,9.0,0
HR | Healthcare | Onsite | 3,29.0,7.0,3.0,3.0,0
Project Manager | Retail | Onsite | 3,37.0,7.0,6.0,6.0,0
HR | Manufacturing | Onsite | 4,28.0,7.0,7.0,9.0,0
Sales | Consulting | Remote | 1,31.0,6.0,7.0,3.0,0
Software Engineer | Retail | Onsite | 2,26.0,8.0,7.0,6.0,1
Project Manager | Healthcare | Onsite | 1,46.0,9.0,6.0,6.0,1
Software Engineer | Education | Hybrid | 1,55.0,10.0,3.0,6.0,1
Project Manager | Education | Hybrid | 5,47.0,8.0,7.0,3.0,1
Software Engineer | IT | Remote | 5,48.0,6.0,7.0,3.0,0
HR | IT | Onsite | 3,49.0,6.0,6.0,3.0,0
Designer | Manufacturing | Remote | 3,51.0,10.0,6.0,3.0,1
Data Scientist | IT | Remote | 5,57.0,9.0,3.0,6.0,1
Sales | Consulting | Hybrid | 2,33.0,7.0,7.0,6.0,0
Sales | IT | Remote | 5,30.0,9.0,7.0,6.0,1
Project Manager | Finance | Hybrid | 2,28.0,8.0,3.0,6.0,1
Software Engineer | Healthcare | Onsite | 5,31.0,8.0,7.0,6.0,1
